type,mode,amount,currentBalance,transactionTimestamp,valueDate,txnId,narration,reference
DEBIT,CARD,100,2180.8,2023-06-27T09:40:19+05:30,27-06-2023,6e80ee9f-49b5-434f-8ab6-f192a2296e6c,GAS FILLING STATION,
DEBIT,CARD,170,2010.8,2023-06-28T09:51:57+05:30,28-06-2023,a734aa85-4bf8-44c0-b508-305f554dc51e,GAS FILLING STATION,
DEBIT,CARD,500,1510.8,2023-07-26T10:04:00+05:30,26-07-2023,dc44e071-399f-4ec2-b6ec-64f9e8a05a8a,GAS FILLING STATION,
CREDIT,OTHERS,15,1525.8,2023-08-06T11:10:38+05:30,31-07-2023,0adc1ed0-4809-462d-855c-84cda5593c80,5188810,
DEBIT,ATM,1000,525.8,2023-08-07T17:13:13+05:30,07-08-2023,1a018d91-db8a-416d-b49f-d03a84bc5c7b,ATM,
DEBIT,UPI,1,524.8,2023-08-22T08:05:06+05:30,22-08-2023,33bd1687-6ab2-43c5-be5f-d150f412834c,UPI/3234,
CREDIT,UPI,3000,3524.8,2023-08-22T11:49:13+05:30,22-08-2023,b87c4941-ad5b-41b7-9cda-4956a05a042e,UPI/3234,
CREDIT,UPI,300,3824.8,2023-08-22T12:20:04+05:30,22-08-2023,8bba53c3-7a35-40d6-a38c-fc142c432455,UPI/32345,
DEBIT,UPI,1200,2624.8,2023-08-23T08:17:48+05:30,23-08-2023,fd9c35d1-b32c-40f2-9e3e-0ddfe1d24cad,UPI/3235,
CREDIT,UPI,400,3024.8,2023-08-23T10:51:21+05:30,23-08-2023,d2407a2c-15f3-46c2-b658-f9b66de3b6fd,UPI/ent,
CREDIT,UPI,500,3524.8,2023-08-24T11:32:18+05:30,24-08-2023,b347d492-3798-4af9-b684-b136ecc2163e,UPI/3236,
CREDIT,UPI,300,3824.8,2023-08-24T12:31:36+05:30,24-08-2023,2502b83f-52a0-459a-acc2-058856a6025f,UPI/3236,
DEBIT,UPI,140,3684.8,2023-08-24T13:35:21+05:30,24-08-2023,ef7cdb44-66aa-4523-bafb-bc36528ffb08,UPI/3236,
CREDIT,UPI,400,4084.8,2023-08-24T16:52:52+05:30,24-08-2023,cb0dda74-4491-4005-9038-5d4d2d3d8f69,UPI/3236,
CREDIT,UPI,750,4834.8,2023-08-24T18:22:22+05:30,24-08-2023,504ea1a4-880a-4336-be91-722f93d03d76,UPI/3236,
DEBIT,UPI,80,4754.8,2023-08-24T21:43:55+05:30,24-08-2023,72b8aab6-5ec1-4204-9c6c-703251f82cae,UPI/BHARATPE6,
DEBIT,UPI,30,4724.8,2023-08-24T21:48:01+05:30,24-08-2023,ecc76954-7c8f-4fc0-9e51-6fa35a1b4cac,UPI/3236,
DEBIT,UPI,2480,2244.8,2023-08-25T10:24:38+05:30,25-08-2023,d26c20ba-4ed1-4ea0-81b0-d864d6905ce6,UPI/3237,
DEBIT,UPI,1450,794.8,2023-08-25T10:39:35+05:30,25-08-2023,4d14d160-484b-4f1d-822a-106f7e4d6cd0,UPI/32372,
DEBIT,UPI,120,674.8,2023-08-25T12:03:11+05:30,25-08-2023,2395c8a5-2d7b-45ff-8279-07160dc2b24f,UPI/BHARATPE,
CREDIT,UPI,480,1154.8,2023-08-25T16:03:16+05:30,25-08-2023,60867cfd-705b-44ba-9183-9fd57069d79b,UPI/36035,
CREDIT,OTHERS,1,1155.8,2023-08-25T16:04:31+05:30,25-08-2023,9760f363-bad8-44f4-99cb-8d9c97dccc4c,IMPS,
DEBIT,UPI,1,1154.8,2023-08-25T16:15:02+05:30,25-08-2023,b128ae36-e103-40fb-b402-dda22c0540a0,UPI/PAYTM,
DEBIT,UPI,1,1153.8,2023-08-25T16:19:10+05:30,25-08-2023,b224b31a-93e8-4726-9853-e355c677a612,UPI/32375,
CREDIT,UPI,21,1174.8,2023-08-25T16:19:20+05:30,25-08-2023,24f677df-0d22-4ee9-a72e-228f9898062b,UPI/32378/goog-payment,
CREDIT,OTHERS,1,1175.8,2023-08-25T16:41:37+05:30,25-08-2023,a25eeba0-6e08-45cb-9eb3-5583b6f9ec58,NEFT,9200200
DEBIT,UPI,1000,175.8,2023-08-25T16:56:59+05:30,25-08-2023,71bdd916-a4ad-4d30-9a0f-796611e2724f,UPI/3237,
DEBIT,UPI,30,145.8,2023-08-25T18:23:59+05:30,25-08-2023,f36f9696-82f7-47b1-9290-75cd13d701ac,UPI/3603,
CREDIT,OTHERS,51,196.8,2023-08-25T18:37:02+05:30,25-08-2023,c2ca6026-dd22-490f-8e8e-6bb1d033ec58,IMPS,
DEBIT,UPI,1,195.8,2023-08-26T15:06:16+05:30,26-08-2023,dec347ca-1df8-4834-bf12-a7ec81d4faeb,UPI/BHARATPE,
CREDIT,UPI,500,695.8,2023-08-26T19:25:59+05:30,26-08-2023,676db4e7-86c0-42e5-87f7-991d729ebd66,UPI/3238,
CREDIT,UPI,500,1195.8,2023-08-26T19:42:29+05:30,26-08-2023,ce354233-4a2f-499b-86f4-cc9ad4c0ccb7,UPI/32382,
CREDIT,UPI,700,1895.8,2023-08-26T20:36:16+05:30,26-08-2023,e47c0f6b-669c-4846-a4e1-a9c1abb74a49,UPI/32384,
DEBIT,UPI,60,1835.8,2023-08-26T21:29:53+05:30,26-08-2023,9da292b1-e6ff-4aec-ba17-1e9596be288d,UPI/BHARATPE,
DEBIT,UPI,20,1815.8,2023-08-26T21:31:20+05:30,26-08-2023,622a4877-d66b-4659-95f2-c834bc437044,UPI/BHARATPE,
DEBIT,UPI,1,1814.8,2023-08-27T12:18:39+05:30,27-08-2023,7c0b0fd3-5719-4c8f-be35-9a1eb624c282,UPI/32394,
